date,heure,conso
01/01/2015,22:45,73688
01/01/2015,1:00,71495
01/01/2015,1:15,66673
01/01/2015,1:30,79033
01/01/2015,1:45,77434
02/01/2015,00:00,68742
02/01/2015,00:15,79967
02/01/2015,00:30,64714
02/01/2015,00:45,60668
02/01/2015,01:00,1164
02/01/2015,01:15,76831
02/01/2015,01:30,76086
02/01/2015,01:45,68335
02/01/2015,02:00,74207
02/01/2015,02:15,60338
02/01/2015,02:30,65074
02/01/2015,02:45,67212
02/01/2015,03:00,1935
02/01/2015,03:15,68400
02/01/2015,03:30,60134
02/01/2015,03:45,1964
02/01/2015,04:00,1635
02/01/2015,04:15,73915
02/01/2015,04:30,76721
02/01/2015,04:45,68813
02/01/2015,05:00,6016
02/01/2015,05:15,64635
02/01/2015,05:30,66909
02/01/2015,05:45,1547
02/01/2015,06:00,64756
02/01/2015,06:15,67199
02/01/2015,06:30,74758
02/01/2015,06:45,76365
02/01/2015,07:00,75671
02/01/2015,07:15,65721
02/01/2015,07:30,67175
02/01/2015,07:45,1854
02/01/2015,08:00,73220
02/01/2015,08:15,116
02/01/2015,08:30,78320
02/01/2015,08:45,76003
02/01/2015,09:00,66495
02/01/2015,09:15,69455
02/01/2015,09:30,65474
02/01/2015,09:45,73878
02/01/2015,10:00,72177
02/01/2015,10:15,76130
02/01/2015,10:30,74078
02/01/2015,10:45,75793
02/01/2015,11:00,74292
02/01/2015,11:15,75798
02/01/2015,11:30,65737
02/01/2015,11:45,77543
02/01/2015,12:00,1872
02/01/2015,12:15,64305
02/01/2015,12:30,61994
02/01/2015,12:45,79796
02/01/2015,13:00,63494
02/01/2015,13:15,74810
02/01/2015,13:30,61657
02/01/2015,13:45,1540
02/01/2015,14:00,76051
02/01/2015,14:15,1240
02/01/2015,14:30,77288
02/01/2015,14:45,61964
02/01/2015,15:00,66320
02/01/2015,15:15,67603
02/01/2015,15:30,63883
02/01/2015,15:45,69555
02/01/2015,16:00,60081
02/01/2015,16:15,78802
02/01/2015,16:30,75556
02/01/2015,16:45,74555
02/01/2015,17:00,71317
02/01/2015,17:15,77691
02/01/2015,17:30,77614
02/01/2015,17:45,76513
02/01/2015,18:00,73780
02/01/2015,18:15,7168
02/01/2015,18:30,71392
02/01/2015,18:45,79156
02/01/2015,19:00,67807
02/01/2015,19:15,74056
02/01/2015,19:30,72614
02/01/2015,19:45,7118
02/01/2015,20:00,76718
02/01/2015,20:15,79206
02/01/2015,20:30,78171
02/01/2015,20:45,67300
02/01/2015,21:00,65896
02/01/2015,21:15,7151
02/01/2015,21:30,1790
02/01/2015,21:45,7415
02/01/2015,22:00,66340
02/01/2015,22:15,60214
02/01/2015,22:30,68195
02/01/2015,22:45,61950
02/01/2015,1:00,7615
02/01/2015,1:15,75405
02/01/2015,1:30,77175
02/01/2015,1:45,67904
03/01/2015,00:00,68747
03/01/2015,00:15,79446
03/01/2015,00:30,67607
03/01/2015,00:45,73719
03/01/2015,01:00,6681
03/01/2015,01:15,64683
03/01/2015,01:30,71402
03/01/2015,01:45,1040
03/01/2015,02:00,67165
03/01/2015,02:15,71116
03/01/2015,02:30,73961
03/01/2015,02:45,69285
03/01/2015,03:00,61329
03/01/2015,03:15,72410
03/01/2015,03:30,73979
03/01/2015,03:45,1538
03/01/2015,04:00,63967
03/01/2015,04:15,64457
03/01/2015,04:30,61532
03/01/2015,04:45,78060
03/01/2015,05:00,79755
03/01/2015,05:15,73837
03/01/2015,05:30,67269
03/01/2015,05:45,63587
03/01/2015,06:00,60699
03/01/2015,06:15,6115
03/01/2015,06:30,67678
03/01/2015,06:45,67595
03/01/2015,07:00,65634
03/01/2015,07:15,78157
03/01/2015,07:30,71971
03/01/2015,07:45,68274
03/01/2015,08:00,68289
03/01/2015,08:15,74463
03/01/2015,08:30,76440
03/01/2015,08:45,64552
03/01/2015,09:00,66425
03/01/2015,09:15,67436
03/01/2015,09:30,7671
03/01/2015,09:45,6109
03/01/2015,10:00,64674
03/01/2015,10:15,1172
03/01/2015,10:30,60695
03/01/2015,10:45,73604
03/01/2015,11:00,75740
03/01/2015,11:15,66422
03/01/2015,11:30,1871
03/01/2015,11:45,74143
03/01/2015,12:00,79585
03/01/2015,12:15,75128
03/01/2015,12:30,6719
03/01/2015,12:45,66102
03/01/2015,13:00,73487
03/01/2015,13:15,1741
03/01/2015,13:30,65765
03/01/2015,13:45,63927
03/01/2015,14:00,60932
03/01/2015,14:15,66396
03/01/2015,14:30,73371
03/01/2015,14:45,6631
03/01/2015,15:00,76528
03/01/2015,15:15,65594
03/01/2015,15:30,60033
03/01/2015,15:45,78225
03/01/2015,16:00,64800
03/01/2015,16:15,71881
03/01/2015,16:30,7718
03/01/2015,16:45,72085
03/01/2015,17:00,74691
03/01/2015,17:15,66419
03/01/2015,17:30,65793
03/01/2015,17:45,61484
03/01/2015,18:00,78798
03/01/2015,18:15,77680
03/01/2015,18:30,74782
03/01/2015,18:45,73514
03/01/2015,19:00,75052
03/01/2015,19:15,1268
03/01/2015,19:30,75093
03/01/2015,19:45,66790
03/01/2015,20:00,65520
03/01/2015,20:15,79356
03/01/2015,20:30,76141
03/01/2015,20:45,74956
03/01/2015,21:00,71310
03/01/2015,21:15,1169
03/01/2015,21:30,79835
03/01/2015,21:45,65346
03/01/2015,22:00,79042
03/01/2015,22:15,67124
03/01/2015,22:30,72501
03/01/2015,22:45,69052
03/01/2015,1:00,64352
03/01/2015,1:15,77302
03/01/2015,1:30,73983
03/01/2015,1:45,1856
04/01/2015,00:00,60913
04/01/2015,00:15,76055
04/01/2015,00:30,75303
04/01/2015,00:45,64932
04/01/2015,01:00,66856
04/01/2015,01:15,67963
04/01/2015,01:30,78118
04/01/2015,01:45,77785
04/01/2015,02:00,74550
04/01/2015,02:15,76602
04/01/2015,02:30,61242
04/01/2015,02:45,74758
04/01/2015,03:00,77687
04/01/2015,03:15,68024
04/01/2015,03:30,66418
04/01/2015,03:45,77136
04/01/2015,04:00,64730
04/01/2015,04:15,75546
04/01/2015,04:30,79865
04/01/2015,04:45,1544
04/01/2015,05:00,75529
04/01/2015,05:15,71679
04/01/2015,05:30,7817
04/01/2015,05:45,79785
04/01/2015,06:00,63552
04/01/2015,06:15,69650
04/01/2015,06:30,61081
04/01/2015,06:45,60920
04/01/2015,07:00,76867
04/01/2015,07:15,63780
04/01/2015,07:30,77142
04/01/2015,07:45,60425
04/01/2015,08:00,1473
04/01/2015,08:15,73576
04/01/2015,08:30,79012
04/01/2015,08:45,63322
04/01/2015,09:00,74747
04/01/2015,09:15,66066
04/01/2015,09:30,6451
04/01/2015,09:45,76716
04/01/2015,10:00,72203
04/01/2015,10:15,78560
04/01/2015,10:30,71808
04/01/2015,10:45,65569
04/01/2015,11:00,76642
04/01/2015,11:15,60073
04/01/2015,11:30,75227
04/01/2015,11:45,79798
04/01/2015,12:00,71487
04/01/2015,12:15,75667
04/01/2015,12:30,78926
04/01/2015,12:45,78972
04/01/2015,13:00,71547
04/01/2015,13:15,71649
04/01/2015,13:30,73000
04/01/2015,13:45,66529
04/01/2015,14:00,64146
04/01/2015,14:15,74613
04/01/2015,14:30,63613
04/01/2015,14:45,68646
04/01/2015,15:00,64455
04/01/2015,15:15,63339
04/01/2015,15:30,68819
04/01/2015,15:45,60387
04/01/2015,16:00,71968
04/01/2015,16:15,64867
04/01/2015,16:30,64173
04/01/2015,16:45,76384
04/01/2015,17:00,7471
04/01/2015,17:15,79865
04/01/2015,17:30,69053
04/01/2015,17:45,65801
04/01/2015,18:00,60320
04/01/2015,18:15,61932
04/01/2015,18:30,65757
04/01/2015,18:45,79079
04/01/2015,19:00,66120
04/01/2015,19:15,74315
04/01/2015,19:30,6810
04/01/2015,19:45,75011
04/01/2015,20:00,77638
04/01/2015,20:15,64880
04/01/2015,20:30,76173
04/01/2015,20:45,68265
04/01/2015,21:00,61485
04/01/2015,21:15,68821
04/01/2015,21:30,61558
04/01/2015,21:45,1535
04/01/2015,22:00,69135
04/01/2015,22:15,6147
04/01/2015,22:30,76839
04/01/2015,22:45,66787
04/01/2015,1:00,61560
04/01/2015,1:15,77735
04/01/2015,1:30,64209
04/01/2015,1:45,61335
05/01/2015,00:00,77249
05/01/2015,00:15,69376
05/01/2015,00:30,67195
05/01/2015,00:45,75825
05/01/2015,01:00,78313
05/01/2015,01:15,79315
05/01/2015,01:30,65209
05/01/2015,01:45,77659
05/01/2015,02:00,79148
05/01/2015,02:15,63611
05/01/2015,02:30,7719
05/01/2015,02:45,7411
05/01/2015,03:00,67308
05/01/2015,03:15,67914
05/01/2015,03:30,74894
05/01/2015,03:45,60647
05/01/2015,04:00,66754
05/01/2015,04:15,63989
05/01/2015,04:30,74871
05/01/2015,04:45,78690
05/01/2015,05:00,78792
05/01/2015,05:15,73838
05/01/2015,05:30,61734
05/01/2015,05:45,74550
05/01/2015,06:00,63932
05/01/2015,06:15,68355
05/01/2015,06:30,74320
05/01/2015,06:45,63574
05/01/2015,07:00,60494
05/01/2015,07:15,1346
05/01/2015,07:30,68210
05/01/2015,07:45,78057
05/01/2015,08:00,7712
05/01/2015,08:15,75689
05/01/2015,08:30,1127
05/01/2015,08:45,1663
05/01/2015,09:00,76484
05/01/2015,09:15,1184
05/01/2015,09:30,67760
05/01/2015,09:45,73377
05/01/2015,10:00,74418
05/01/2015,10:15,76867
05/01/2015,10:30,71922
05/01/2015,10:45,72189
05/01/2015,11:00,77921
05/01/2015,11:15,64603
05/01/2015,11:30,60069
05/01/2015,11:45,65182
05/01/2015,12:00,75172
05/01/2015,12:15,79812
05/01/2015,12:30,69297
05/01/2015,12:45,79638
05/01/2015,13:00,75874
05/01/2015,13:15,65818
05/01/2015,13:30,76309
05/01/2015,13:45,65938
05/01/2015,14:00,1172
05/01/2015,14:15,71971
05/01/2015,14:30,74405
05/01/2015,14:45,72277
05/01/2015,15:00,63440
05/01/2015,15:15,67190
05/01/2015,15:30,71903
05/01/2015,15:45,61516
05/01/2015,16:00,74127
05/01/2015,16:15,7182
05/01/2015,16:30,65975
05/01/2015,16:45,69051
05/01/2015,17:00,68274
05/01/2015,17:15,78031
05/01/2015,17:30,79878
05/01/2015,17:45,77398
05/01/2015,18:00,79374
05/01/2015,18:15,77677
05/01/2015,18:30,79906
05/01/2015,18:45,69201
05/01/2015,19:00,63078
05/01/2015,19:15,76914
05/01/2015,19:30,113
05/01/2015,19:45,74609
05/01/2015,20:00,7971
05/01/2015,20:15,1602
05/01/2015,20:30,1883
05/01/2015,20:45,74596
05/01/2015,21:00,6119
05/01/2015,21:15,76521
05/01/2015,21:30,65661
05/01/2015,21:45,78182
05/01/2015,22:00,78813
05/01/2015,22:15,71359
05/01/2015,22:30,61884
05/01/2015,22:45,73508
05/01/2015,1:00,73734
05/01/2015,1:15,76561
05/01/2015,1:30,73017
05/01/2015,1:45,68320
06/01/2015,00:00,69897
06/01/2015,00:15,67608
06/01/2015,00:30,68856
06/01/2015,00:45,60879
06/01/2015,01:00,64476
06/01/2015,01:15,77158
06/01/2015,01:30,71048
06/01/2015,01:45,6411
06/01/2015,02:00,76780
06/01/2015,02:15,64694
06/01/2015,02:30,1080
06/01/2015,02:45,76536
06/01/2015,03:00,77330
06/01/2015,03:15,1259
06/01/2015,03:30,1073
06/01/2015,03:45,79158
06/01/2015,04:00,77802
06/01/2015,04:15,76407
06/01/2015,04:30,7186
06/01/2015,04:45,61181
06/01/2015,05:00,66912
06/01/2015,05:15,77873
06/01/2015,05:30,75325
06/01/2015,05:45,66504
06/01/2015,06:00,72135
06/01/2015,06:15,63939
06/01/2015,06:30,79736
06/01/2015,06:45,65653
06/01/2015,07:00,1500
06/01/2015,07:15,60767
06/01/2015,07:30,66774
06/01/2015,07:45,73067
06/01/2015,08:00,74513
06/01/2015,08:15,74040
06/01/2015,08:30,6512
06/01/2015,08:45,66033
06/01/2015,09:00,76802
06/01/2015,09:15,67859
06/01/2015,09:30,76474
06/01/2015,09:45,78007
06/01/2015,10:00,66789
06/01/2015,10:15,76375
06/01/2015,10:30,121
06/01/2015,10:45,7116
06/01/2015,11:00,1145
06/01/2015,11:15,1690
06/01/2015,11:30,69045
06/01/2015,11:45,78036
06/01/2015,12:00,1067
06/01/2015,12:15,67541
06/01/2015,12:30,76589
06/01/2015,12:45,68990
06/01/2015,13:00,76165
06/01/2015,13:15,7911
06/01/2015,13:30,78004
06/01/2015,13:45,1857
06/01/2015,14:00,76529
06/01/2015,14:15,74403
06/01/2015,14:30,63658
06/01/2015,14:45,77663
06/01/2015,15:00,75274
06/01/2015,15:15,78396
06/01/2015,15:30,1755
06/01/2015,15:45,77514
06/01/2015,16:00,79898
06/01/2015,16:15,69842
06/01/2015,16:30,66618
06/01/2015,16:45,6013
06/01/2015,17:00,72074
06/01/2015,17:15,67552
06/01/2015,17:30,67941
06/01/2015,17:45,68546
06/01/2015,18:00,6661
06/01/2015,18:15,79177
06/01/2015,18:30,75739
06/01/2015,18:45,66539
06/01/2015,19:00,71216
06/01/2015,19:15,66154
06/01/2015,19:30,77292
06/01/2015,19:45,63488
06/01/2015,20:00,68178
06/01/2015,20:15,78511
06/01/2015,20:30,110
06/01/2015,20:45,68905
06/01/2015,21:00,1425
06/01/2015,21:15,63038
06/01/2015,21:30,68940
06/01/2015,21:45,73849
06/01/2015,22:00,73029
06/01/2015,22:15,72281
06/01/2015,22:30,1875
06/01/2015,22:45,65814
06/01/2015,1:00,72763
06/01/2015,1:15,61026
06/01/2015,1:30,66036
06/01/2015,1:45,61924
07/01/2015,00:00,60728
07/01/2015,00:15,65133
07/01/2015,00:30,1742
07/01/2015,00:45,6115
07/01/2015,01:00,61469
07/01/2015,01:15,65454
07/01/2015,01:30,67390
07/01/2015,01:45,75066
07/01/2015,02:00,63999
07/01/2015,02:15,68427
07/01/2015,02:30,79386
07/01/2015,02:45,76689
07/01/2015,03:00,79447
07/01/2015,03:15,1209
07/01/2015,03:30,78090
07/01/2015,03:45,77821
07/01/2015,04:00,63965
07/01/2015,04:15,1732
07/01/2015,04:30,71777
07/01/2015,04:45,1780
07/01/2015,05:00,72460
07/01/2015,05:15,74413
07/01/2015,05:30,68530
07/01/2015,05:45,69026
07/01/2015,06:00,78228
07/01/2015,06:15,78331
07/01/2015,06:30,76517
07/01/2015,06:45,66742
07/01/2015,07:00,6148
07/01/2015,07:15,73439
07/01/2015,07:30,65853
07/01/2015,07:45,69817
07/01/2015,08:00,71568
07/01/2015,08:15,77755
07/01/2015,08:30,63098
07/01/2015,08:45,65284
07/01/2015,09:00,1818
07/01/2015,09:15,78804
07/01/2015,09:30,61411
07/01/2015,09:45,75308
07/01/2015,10:00,75403
07/01/2015,10:15,78567
07/01/2015,10:30,67102
07/01/2015,10:45,73852
07/01/2015,11:00,78871
07/01/2015,11:15,78697
07/01/2015,11:30,72739
07/01/2015,11:45,79851
07/01/2015,12:00,60945
07/01/2015,12:15,79206
07/01/2015,12:30,65444
07/01/2015,12:45,1240
07/01/2015,13:00,71095
07/01/2015,13:15,6881
07/01/2015,13:30,69016
07/01/2015,13:45,66912
07/01/2015,14:00,60730
07/01/2015,14:15,79753
07/01/2015,14:30,64503
07/01/2015,14:45,74877
07/01/2015,15:00,6154
07/01/2015,15:15,76330
07/01/2015,15:30,63243
07/01/2015,15:45,67960
07/01/2015,16:00,74872
07/01/2015,16:15,72901
07/01/2015,16:30,64355
07/01/2015,16:45,1754
07/01/2015,17:00,68003
07/01/2015,17:15,71643
07/01/2015,17:30,69405
07/01/2015,17:45,73446
07/01/2015,18:00,7193
07/01/2015,18:15,7391
07/01/2015,18:30,76965
07/01/2015,18:45,76052
07/01/2015,19:00,76033
07/01/2015,19:15,61842
07/01/2015,19:30,6741
07/01/2015,19:45,73132
07/01/2015,20:00,6414
07/01/2015,20:15,64074
07/01/2015,20:30,77454
07/01/2015,20:45,78206
07/01/2015,21:00,69811
07/01/2015,21:15,68445
07/01/2015,21:30,68058
07/01/2015,21:45,66776
07/01/2015,22:00,71038
07/01/2015,22:15,1216
07/01/2015,22:30,68342
07/01/2015,22:45,65597
07/01/2015,1:00,65575
07/01/2015,1:15,1712
07/01/2015,1:30,61096
07/01/2015,1:45,69088
